Date,Job title,Company,,,,,,
8/3/2022,SQL Developer - Mumbai / Kolkata - WFH,PESHR,,,,,,
8/8/2022,Snowflake Developer,Apidel Technologies,,,,,,
9/22/2022,Database Specialist - Redshift/PostgreSQL,Himflax Group,,,,,,
10/1/2022,Associate Tech Specialist (Data Engineer),ESSENWARE PRIVATE LIMITED,,,,,,
8/30/2022,Emdep - SQL Developer - DBMS,EMDEP TestBoards,,,,,,
9/8/2022,OPENSHIFT,LTI - Larsen & Toubro Infotech,,,,,,
9/22/2022,Database Specialist - Redshift/PostgreSQL,Himflax Group,,,,,,
8/28/2022,Data Engineer Real Time,Barclays,,,,,,
8/25/2022,Calculation Analyst,WhiteCrow Research,,,,,,
8/27/2022,Snowflake Developer,Tata Consultancy Services,,,,,,
9/1/2022,Software Engineer - Data,Siemens,,,,,,
9/22/2022,"Oracle Forms - Mumbai, Pune location",CIEL HR,,,,,,
9/16/2022,ETL Glue Dev,Barclays,,,,,,
9/2/2022,DATA QUALITY MANAGEMENT,Zensar Technologies,,,,,,
9/16/2022,OBIEE Developer,Federal Soft Systems Inc.,,,,,,
9/1/2022,Base24 Developers,Cognizant,,,,,,
9/2/2022,Developer,Barclays,,,,,,
8/29/2022,COBOL Developers,SyManSys Technologies India Pvt. Ltd.,,,,,,
9/4/2022,Adobe Experience Platform,Infosys,,,,,,
9/9/2022,Database Developer - MYSQL,Qween Network LLP,,,,,,
8/12/2022,Senior Application Support Analyst,Barclays,,,,,,
9/28/2022,Senior Application Support Analyst,Barclays,,,,,,
9/15/2022,BI Systems Developer - BO,Medline India,,,,,,
9/1/2022,Senior Application Support Analyst,Barclays,,,,,,
9/29/2022,Power BI Developer,Wipfli,,,,,,
9/16/2022,Decision Analytics Associate Consultant/RWD,ZS,,,,,,
9/22/2022,MSBI Data engineer/ Specialist,Jade Global,,,,,,
9/30/2022,ETL Developer,Golden Opportunities,,,,,,
9/16/2022,Senior Application Support Analyst,Barclays,,,,,,
9/27/2022,Data Engineer,Talpro - Leaders in Technology Hiring,,,,,,
9/27/2022,Webfocus Developer,TIBCO,,,,,,
9/7/2022,Assistant Manager ML Ops Engineer,_VOIS,,,,,,
9/30/2022,Specialist Data Engineer,Rangam India,,,,,,
7/31/2022,Financial Advisory International - Data Analytics - SE/AM - Python Developer,Deloitte Asia Pacific,,,,,,
9/16/2022,QlikSense Developer,Morgan Advanced Materials,,,,,,
9/28/2022,Project Billing Analyst / Senior Project Billing Analyst,Precision For Medicine,,,,,,
9/20/2022,SAS Programmer,WTW,,,,,,
9/20/2022,Systems Platform Engineer II,Mastercard,,,,,,
9/8/2022,Software Engineer - Data Support (EST Time Zone),DeepIntent,,,,,,
9/29/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/29/2022,Database Developer,e-Zest Solutions,,,,,,
7/26/2022,CIEL/SEL/23907: SQL Developer,CIEL HR,,,,,,
7/8/2022,VBA DEVELOPER,Diverse Lynx,,,,,,
8/22/2022,Power BI Developer,H.B. Fuller,,,,,,
8/29/2022,Senior Application Support Analyst,Barclays,,,,,,
7/9/2022,Developer,Barclays,,,,,,
9/5/2022,Snowflake Developer,Apidel Technologies,,,,,,
7/31/2022,Data Operations Maintenance Data Senior Analyst,bp,,,,,,
7/31/2022,Sapio Analytics - Backend Developer - Python/Django,Sapio Analytics,,,,,,
3/4/2022,Tableau Developer,SKILLETY,,,,,,
9/30/2022,MS SQL Developer - Mumbai / Kolkata - MNC - WFH,PESHR,,,,,,
9/20/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/20/2022,"IT Analyst, Business Intelligence",Avient Corporation,,,,,,
9/20/2022,BI (Business Intelligence) Developer,Etraveli Group,,,,,,
6/24/2022,Sr. Associate - Projects,Cognizant,,,,,,
8/10/2022,Developer-Cobol,Tata Consultancy Services,,,,,,
9/22/2022,Developer,Barclays,,,,,,
9/15/2022,SDE 1 - Python,Fynd (Shopsense Retail Technologies Ltd.),,,,,,
9/27/2022,Python Developer,Tata Consultancy Services,,,,,,
8/22/2022,Developer,Barclays,,,,,,
9/20/2022,Senior Data Engineer,Mastercard,,,,,,
9/27/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/8/2022,Python Django-Module Lead,Mindtree,,,,,,
9/16/2022,Senior Data Engineer,Barclays,,,,,,
9/22/2022,Senior Data Engineer,Barclays,,,,,,
9/23/2022,Expert Data Engineer,Michael Page,,,,,,
9/29/2022,Senior Data Engineer,GFL Recruitment Private Limited,,,,,,
9/22/2022,Junior Systems Engineer - Linux,Technicolor Creative Studios,,,,,,
9/16/2022,Marsh & McLennan - Senior Specialist - Data Analytics & Visualization,Marsh McLennan Global Services India Private Limited (MMGS),,,,,,
9/29/2022,On Demand Agility - Data Engineer - Python/SQL/Tableau,OnDemand Agility Solutions,,,,,,
9/16/2022,Python programming python scripting,TeamPlus Staffing Solution Pvt Ltd,,,,,,
8/19/2022,Informatica Developer,Diverse Lynx,,,,,,
7/31/2022,Data Engineer,MASTER MIND CONSULTANCY,,,,,,
9/23/2022,MicroStrategy Developer,_VOIS,,,,,,
9/26/2022,Senior Data Engineer,Barclays,,,,,,
7/31/2022,Senior Data Engineer,Barclays,,,,,,
9/10/2022,CIEL/SEL/21695: Data Scientist,CIEL HR,,,,,,
10/3/2022,Qlik Developer - Business Intelligence,Himflax Group,,,,,,
9/23/2022,Senior Data Engineer,Barclays,,,,,,
9/29/2022,Senior Data Engineer,Barclays,,,,,,
9/29/2022,BI Analyst,Internet Brands,,,,,,
9/13/2022,Deputy Manager -Assistant Lead - Data Engineering- Pune,_VOIS,,,,,,
9/30/2022,BI Developer-QlikSense/ QlikSense Developer,NSEIT LIMITED,,,,,,
9/9/2022,Associate Manager - MSBI Developer,SS&C Technologies,,,,,,
9/16/2022,snowflake Developer,Apidel Technologies,,,,,,
8/27/2022,Lead Vulnerability Analyst,Mastercard,,,,,,
9/26/2022,SIOP & Inventory Business Analytics and Data Scientist,Emerson,,,,,,
7/31/2022,Python programming python scripting.,TeamPlus Staffing Solution Pvt Ltd,,,,,,
9/16/2022,Senior Data Engineer,Barclays,,,,,,
9/24/2022,Junior Developer,Datavail,,,,,,
9/1/2022,Senior Database Developer,BNP Paribas,,,,,,
8/15/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/9/2022,Senior Associate - SQL + SSRS Developer,SS&C Technologies,,,,,,
9/16/2022,Python Developer,Apidel Technologies,,,,,,
7/8/2022,Shopify Developer,Infosys,,,,,,
9/30/2022,PL/SQL Software Engineer,Avaloq,,,,,,
9/29/2022,Engineer - IT Operations & Maintenance - 12001,Tata Group,,,,,,
9/4/2022,Database Engineer - PostgreSQL,Himflax Group,,,,,,
7/26/2022,Sr. Associate - Projects,Cognizant,,,,,,
8/30/2022,Hiring for _SQL Developer - Mumbai / Kolkata - MNC - WFH,PESHR,,,,,,
7/26/2022,Mendix Developers,Cognizant,,,,,,
9/28/2022,System Engineer,Magna International,,,,,,
9/20/2022,Big Data Engineer,Barclays,,,,,,
9/23/2022,Software Support Engineer,Amdocs,,,,,,
8/2/2022,SAM8 Developer,Barclays,,,,,,
9/9/2022,UCRM C&P Pune,Barclays,,,,,,
9/6/2022,IT Business Systems Analyst,"PerkinElmer, Inc.",,,,,,
9/29/2022,ETL and Database Engineer-GDO3/2022/26,West Agile Labs,,,,,,
9/16/2022,Qlik Consultant - ETL/Data Modeling,The IT Firm,,,,,,
9/21/2022,Urgently Hiring for Technical Specialist Postgres for Navi Mumbai Location,Spring HR Services LLP,,,,,,
9/16/2022,Developer,Barclays,,,,,,
9/16/2022,Python Django-Technical Lead,Mindtree,,,,,,
9/22/2022,ETL Developer,Barclays,,,,,,
9/15/2022,Associate Mainframe Systems Programmer,Ensono,,,,,,
9/16/2022,Data Science Engineer,Alliance Recruitment Agency,,,,,,
9/16/2022,Sr. Associate - Projects,Cognizant,,,,,,
8/30/2022,TransOrg Analytics - Lead Data Engineer - SQL/ETL/Python,TransOrg Analytics,,,,,,
9/16/2022,Mainframe Developer,Tata Consultancy Services,,,,,,
9/17/2022,SAM8 Developer,Barclays,,,,,,
9/16/2022,Sr. Associate - Projects,Cognizant,,,,,,
8/19/2022,Shopify Developer,Bryan & Candy,,,,,,
9/29/2022,Systems Engineer,Visteon India,,,,,,
9/16/2022,Technology Engineer,Amdocs,,,,,,
9/16/2022,Developer,Barclays,,,,,,
9/7/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/18/2022,"Super Salary, German Company hires System Administrator | System Engineer | Cloud Hosting | Linux | SysAdmin",MGT-COMMERCE GmbH,,,,,,
8/7/2022,Informatica Developer,Inteliment,,,,,,
7/31/2022,AZURE – Data engineer,CGI,,,,,,
9/1/2022,Developer,Tata Group,,,,,,
8/22/2022,Data Engineer - Kafka/Hadoop,NetConnectGlobal,,,,,,
8/15/2022,"SQL,SSRS, report developer, SSIS ,crystal developer",Infrasoft Technologies Ltd,,,,,,
9/20/2022,Apexon - Data Engineer - ETL/DAX Power BI,Apexon,,,,,,
9/21/2022,Tata Power - SME Data Engineer/Data Scientist - Big Data Application Development,TATA Power,,,,,,
9/16/2022,BI Developer,Ascensia Diabetes Care,,,,,,
9/16/2022,System Engineer,Company 3,,,,,,
9/29/2022,Salesforce Developer,Barclays,,,,,,
9/16/2022,ETL Developer,Onit India,,,,,,
8/25/2022,Senior Associate Systems Analyst,Medline India,,,,,,
9/16/2022,Developer,Barclays,,,,,,
8/5/2022,TRIARQ Health - Data Engineer - SQL/AWS/Python,TRIARQ Health India,,,,,,
9/8/2022,Advanced Cyber Sec Archt/Engr,Honeywell,,,,,,
8/14/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/16/2022,Precision - System Engineer - Mumbai,Precision Infomatic (M) Private limited,,,,,,
4/26/2022,Sr. Associate - Projects,Cognizant,,,,,,
10/3/2022,Sr. Associate - Projects,Cognizant,,,,,,
8/30/2022,SAS Programmer,Willis Towers Watson India Careers,,,,,,
7/31/2022,BE_R&C_ Staff_GDS02,EY,,,,,,
9/30/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/17/2022,BizOps Engineer I,Mastercard,,,,,,
8/31/2022,Developer - Abinitio,Barclays,,,,,,
9/29/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/21/2022,Systems Engineer,Symphony Tech Solutions & Consultancy Pvt. Ltd,,,,,,
9/26/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/26/2022,"Database Engineer Navi Mumbai, Maharashtra",Medscape,,,,,,
9/16/2022,Systems Engr I,Honeywell,,,,,,
9/16/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/21/2022,Sr. Associate - Projects,Cognizant,,,,,,
7/31/2022,Assoc Collections Analyst,Veritas Technologies LLC,,,,,,
9/16/2022,Confluence Developer,LTI - Larsen & Toubro Infotech,,,,,,
8/12/2022,Associate Consultant - Decision Analytics - Consulting Firm,Talent Toppers,,,,,,
9/20/2022,Developer,Barclays,,,,,,
9/22/2022,Database Developer (PostgreSQL),Sportz Interactive,,,,,,
7/15/2022,Systems Engineer - Requirements Management,Baker Hughes,,,,,,
9/22/2022,Management Information Analyst,"MORE, from Oliver",,,,,,
9/16/2022,BA - Analytics-ANA005389,Genpact,,,,,,
9/16/2022,Junior Software Engineer - Data Science,LogiNext,,,,,,
9/30/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/19/2022,Sr. Associate - Projects,Cognizant,,,,,,
6/28/2022,Python Developer,Tata Consultancy Services,,,,,,
7/31/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/15/2022,Developer,Barclays,,,,,,
9/14/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/1/2022,Advanced Risk Analytics - Risk Analyst - Data Migration,Advanced Risk Analytics Private Limited,,,,,,
9/16/2022,System Engineer,Precision Infomatic (M) Private limited,,,,,,
8/16/2022,Big Data Engineer,Barclays,,,,,,
7/28/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/29/2022,IT Business System Analyst,Qween Network LLP,,,,,,
8/26/2022,Senior Data Engineer,bp,,,,,,
8/30/2022,Hyperion Developer,Barclays,,,,,,
9/6/2022,Developer,Barclays,,,,,,
9/26/2022,Cloud IAM Specialist (Remote Eligible),Tech Data,,,,,,
5/26/2022,Data Engg lead - Sales and Marketing,Mondelēz International,,,,,,
9/16/2022,Tableau and SQL Developer,SKILLETY,,,,,,
9/3/2022,Celonis Developer,Infosys,,,,,,
9/27/2022,Salesforce Developer,Barclays,,,,,,
9/30/2022,Enabling Areas - Data Engineer - AM/DM,Deloitte Asia Pacific,,,,,,
9/22/2022,Lead-Trans Processing (IND01-DR13AS),Sutherland,,,,,,
9/7/2022,Systems Engineer,ACI Worldwide,,,,,,
9/28/2022,Programmer Associate,UPS,,,,,,
9/16/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/27/2022,Power BI Developer,Ares Management Corporation,,,,,,
7/17/2022,Salesforce Developer,Barclays,,,,,,
7/31/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/14/2022,Data Engineer - Python/Scala,ZYCLYX Consulting Services Pvt Limited,,,,,,
9/26/2022,Azure data engineer inter india,Veridic Solutions,,,,,,
7/31/2022,Tax and Technology VBA Phython Developer,KPMG India,,,,,,
9/7/2022,CIEL/SEL/27455: SAS Developer,CIEL HR,,,,,,
8/29/2022,LRQA Global S&C Analyst,LRQA,,,,,,
9/26/2022,Sr. Associate - Projects,Cognizant,,,,,,
6/19/2022,Systems Monitoring Engineer,Intelerad Medical Systems,,,,,,
9/28/2022,Programmer Associate,UPS,,,,,,
7/31/2022,Engineer - Troubleshooting/Debugging,BURGEON IT SERVICES,,,,,,
9/21/2022,Senior Application Support Analyst,Barclays,,,,,,
9/16/2022,Business system analyst,Qween Network LLP,,,,,,
9/16/2022,Oracle PL/SQL Developer,Infosys,,,,,,
5/5/2022,ETL Developer,Barclays,,,,,,
7/31/2022,IT Engineer I,Mindbody,,,,,,
9/2/2022,PowerBuilder Developer,Hexaware Technologies,,,,,,
9/2/2022,L1 System engineer,Precision Infomatic (M) Private limited,,,,,,
9/2/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/23/2022,Wordpress Developer,businessmantra.me,,,,,,
9/7/2022,"Required for SQL developer (SQL Queries, SSRS, and DBA)",TeamPlus Staffing Solution Pvt Ltd,,,,,,
9/15/2022,Data Research Analyst,Morningstar,,,,,,
9/1/2022,Lead Database Engineer,Mastercard,,,,,,
9/2/2022,Deputy Manager Data Engineer,_VOIS,,,,,,
9/6/2022,Senior Support Analyst,Barclays,,,,,,
7/31/2022,Support Engineer - JBOSS/SQL,S2 Consulting Service,,,,,,
9/29/2022,Senior Database Engineer,Mastercard,,,,,,
9/4/2022,Marketing Analytics,Array Management Consultants,,,,,,
7/31/2022,Senior Data Engineer - ETH0054,Mastercard,,,,,,
9/23/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/23/2022,Developer,Barclays,,,,,,
9/24/2022,Salesforce Developer,Barclays,,,,,,
9/16/2022,Senior Data Engineer,Principal Global Services,,,,,,
8/12/2022,Senior Support Analyst - Unix,BNP Paribas,,,,,,
8/12/2022,SDE 3 - Python,Fynd (Shopsense Retail Technologies Ltd.),,,,,,
8/29/2022,Systems Monitoring Engineer,Intelerad Medical Systems,,,,,,
9/28/2022,FIF Developer,Barclays,,,,,,
9/6/2022,Programming Lead,Labcorp,,,,,,
9/15/2022,Lead Data Engineer- Pune,HARMAN International,,,,,,
2/4/2022,Data_Engineer_Deputy_Manager,_VOIS,,,,,,
9/20/2022,Mainframe Developer,Barclays,,,,,,
9/23/2022,Salesforce Developer,Barclays,,,,,,
7/21/2022,Documentation Engineer,Hexagon Manufacturing Intelligence - K A I,,,,,,
8/26/2022,Developer,Barclays,,,,,,
7/26/2022,System Requirement Engineer,Magna International,,,,,,
7/31/2022,GCP Data Engineer,Diverse Lynx,,,,,,
7/13/2022,Support Engineer L3: Big Data,Impetus,,,,,,
9/30/2022,Technology Engineer,Amdocs,,,,,,
9/16/2022,Senior Data Engineer,Principal Global Services,,,,,,
9/20/2022,PMO Analyst,Barclays,,,,,,
8/14/2022,Developer,Tata Consultancy Services,,,,,,
10/2/2022,Sr. Associate - Projects,Cognizant,,,,,,
7/11/2022,Wordpress Developer,Marque Digital Marketing and Branding Co.,,,,,,
8/28/2022,Sr. Associate - Projects,Cognizant,,,,,,
9/29/2022,Programmer Associate,UPS,,,,,,
9/6/2022,Python Developer,Tech Align Pvt. Ltd.,,,,,,
9/22/2022,AWS Data Engineer,NSEIT LIMITED,,,,,,
8/21/2022,Developer,Barclays,,,,,,
9/28/2022,CIEL/SEL/21723: ETL Developer,CIEL HR,,,,,,
9/30/2022,CIEL/SEL/21723: ETL Developer,CIEL HR,,,,,,
9/26/2022,CIEL/SEL/21723: ETL Developer,CIEL HR,,,,,,
7/31/2022,System/Requirement Engineering Engineers,Expleo Group,,,,,,
9/27/2022,Data_Engineer_Deputy_Manager,_VOIS,,,,,,
9/1/2022,Business Systems Analyst,UPS,,,,,,
9/1/2022,Tableau and SQL Developer - Resource Replacement,SKILLETY,,,,,,
9/22/2022,CIEL/SEL/23899: Data Scientist,CIEL HR,,,,,,
4/8/2022,AWS System Engineer,Bonzai – The Creative Automation Platform,,,,,,
9/22/2022,ETL Developer,Barclays,,,,,,
4/12/2022,Senior Data Engineer,GFL Recruitment Private Limited,,,,,,
10/3/2022,BI Developer/Mumbai,BUSISOL SOURCING (INDIA) PRIVATE LIMITED,,,,,,
9/24/2022,Mainframe Developer,Barclays,,,,,,
8/12/2022,Business Intelligence Developer,United Language Group,,,,,,
7/30/2022,Kafka Developer,Tata Consultancy Services,,,,,,
8/12/2022,BizOps Engineer II,Mastercard,,,,,,
8/19/2022,Middleware Engineer,Barclays,,,,,,
8/16/2022,Developer,Barclays,,,,,,
8/31/2022,Salesforce Developer,Barclays,,,,,,
8/30/2022,Hadoop Admin,Diverse Lynx,,,,,,
8/12/2022,Salesforce Developer,Barclays,,,,,,
6/30/2022,Web Analyst,dentsu international,,,,,,
9/9/2022,Business Systems Analyst,UPS,,,,,,
9/7/2022,Senior Data Engineer,KOKO Networks,,,,,,
7/31/2022,Sr. BI Analyst,Internet Brands,,,,,,
9/9/2022,Developer,Tata Consultancy Services,,,,,,
10/3/2022,Senior Support Analyst - Unix,BNP Paribas,,,,,,
8/12/2022,Salesforce Developer,Barclays,,,,,,
9/29/2022,Ecom ops,Medline India,,,,,,
9/29/2022,Salesforce Developer,Barclays,,,,,,
4/25/2022,Data_Engineer_Deputy_Manager,_VOIS,,,,,,
9/9/2022,Quick Fix Developer,CloudMoyo,,,,,,
9/18/2022,Associate Systems Engineer - DevOps/Infrastructure,Numerator,,,,,,
9/23/2022,Power BI Developer,My Corporate Jobs,,,,,,
8/29/2022,Senior Support Analyst - Windows,BNP Paribas,,,,,,
9/30/2022,Developer,Barclays,,,,,,
9/12/2022,Salesforce Developer,Asteri Technology Pvt Ltd,,,,,,
9/30/2022,Python Developer,Worc Consultancy Pvt Ltd,,,,,,
9/2/2022,Staff Data Engineer,MASTER MIND CONSULTANCY,,,,,,
8/25/2022,Technical Lead I,Johnson Controls,,,,,,
9/24/2022,PowerBi Developer - Women on Break,Her Second Innings,,,,,,
8/18/2022,ETL developer,Barclays,,,,,,
8/29/2022,Salesforce Developer,Barclays,,,,,,
7/31/2022,Associate Systems Engineer - DevOps/Infrastructure,Numerator,,,,,,
9/27/2022,Junior Developer,SrinSoft Technologies,,,,,,
9/2/2022,BizOps Engineer II,Mastercard,,,,,,
8/25/2022,Lead Data Engineer,Principal Global Services,,,,,,
9/30/2022,Salesforce Developer,Barclays,,,,,,
9/28/2022,BA4 - Developer,Barclays,,,,,,
9/15/2022,NetSuite Developer/Staff/44,EY,,,,,,
8/12/2022,Tableau and SQL Developer - Resource Replacement,SKILLETY,,,,,,
7/6/2022,Tableau and SQL Developer - Resource Replacement,SKILLETY,,,,,,
8/29/2022,Senior Data Analytics Engineer,Amazatic,,,,,,
8/29/2022,ODI Developer,IDESLABS PRIVATE LIMITED,,,,,,
9/30/2022,Associate Manager - Data Engineer( Java Developer),SS&C Technologies,,,,,,
9/8/2022,Sr Data Engineer,Varian,,,,,,
9/2/2022,BizOps Engineer II,Mastercard,,,,,,
8/12/2022,Lead Data Engineer - Development - Hadoop and Cloud,Mastercard,,,,,,
8/30/2022,Avaloq Developer,Barclays,,,,,,
10/1/2022,AWS Data Engineer - PySpark/ETL,WorkiFicient,,,,,,
9/20/2022,Salesforce Developer,Barclays,,,,,,
8/21/2022,1882CRVA - SQL / PLSQL Developer - Banking | Mumbai | 2 -4 Y,Renous Consulting,,,,,,
9/27/2022,Salesforce Developer,Barclays,,,,,,
9/22/2022,Senior Support Analyst,Barclays,,,,,,
9/22/2022,L2 Backup Engineer,GEEKAY INFOTECH,,,,,,
9/21/2022,Developer,Barclays,,,,,,
9/8/2022,Tableau Developer,Inteliment,,,,,,
6/2/2022,Specialist Systems Engineer,LRN,,,,,,
9/27/2022,Developer,Barclays,,,,,,
9/24/2022,OWS Developer,Barclays,,,,,,
9/20/2022,Sr Consultant - Analytics Engineer (Mumbai/Remote),Michael Page,,,,,,
9/5/2022,Senior Data Engineer,bp,,,,,,
9/2/2022,Developer,Barclays,,,,,,
9/29/2022,Angular,Tata Consultancy Services,,,,,,
9/29/2022,Engineer - Body Systems CoE,Mahindra Group,,,,,,
9/24/2022,IT Business System Analyst,Qween Network LLP,,,,,,
8/27/2022,"Assistant Vice President, Data Engineer, Consumer Banking & Core Engine",DBS Bank,,,,,,
7/31/2022,Oneture Technologies - Data Engineer - SQL/Azure Data Factory,Oneture Technologies,,,,,,
9/7/2022,BizOps Engineer II,Mastercard,,,,,,
9/23/2022,Systems Engineer,AlphaGrep,,,,,,
9/21/2022,Systems Engineer - .Net(1-2 years) - Pune,Infosys,,,,,,
8/30/2022,Finance Projects and Systems - Production Controls Senior Analyst,BNP Paribas,,,,,,
7/31/2022,IT Security Analyst,Qualys,,,,,,
9/1/2022,CIEL/STF/24342: Support Engineer - Linux/Unix,CIEL HR,,,,,,
9/7/2022,Power BI Developer Data Engineer,innOvator web solutions pvt. ltd.,,,,,,
9/8/2022,Backbase form modeller,Zensar Technologies,,,,,,
5/2/2022,Business Systems Analyst - ECM,Interactive Brokers,,,,,,
7/31/2022,SDE 2 - Python,Fynd (Shopsense Retail Technologies Ltd.),,,,,,
9/25/2022,BizOps Engineer II,Mastercard,,,,,,
9/27/2022,Pl/SQL developer,Diverse Lynx,,,,,,
9/24/2022,Avaloq Developer,Barclays,,,,,,
7/14/2022,NetSuite Developer/Staff/44,EY,,,,,,
8/8/2022,CIEL/SEL/23614: Data Scientist,CIEL HR,,,,,,
9/29/2022,Avaloq Developer,Barclays,,,,,,
9/21/2022,IT Security Analyst,Qualys,,,,,,
9/21/2022,MS Systems Engineer - 5905,Allscripts India,,,,,,
9/4/2022,BizOps Engineer II,Mastercard,,,,,,
9/27/2022,Senior Database Analysis Developer,Wolters Kluwer,,,,,,
9/2/2022,Developer,Barclays,,,,,,
8/28/2022,ETL Developer,IDESLABS PRIVATE LIMITED,,,,,,
7/28/2022,Developer,Barclays,,,,,,
9/15/2022,Developer,Barclays,,,,,,
9/2/2022,"Engineer, Threat Research",Qualys,,,,,,
9/22/2022,Wordpress Developer,GraynWhite,,,,,,
7/31/2022,ODI Engineer,Zen & Art,,,,,,
9/13/2022,Apexon - Data Engineer - ETL/AWS,Apexon,,,,,,
9/22/2022,Sciative Solutions - Junior Business Analyst,Sciative - We Price Right,,,,,,
9/30/2022,Actimize Developer,Barclays,,,,,,
9/24/2022,Senior Support Analyst,Barclays,,,,,,
7/12/2022,Java L2 Support | 4 to 6 Years | Mumbai & Pune,Capgemini,,,,,,
9/20/2022,ETL Developer,Barclays,,,,,,
9/2/2022,Junior Developer,SrinSoft Technologies,,,,,,
7/31/2022,Application Developer,Barclays,,,,,,
8/30/2022,MDM Developer,TIBCO,,,,,,
9/28/2022,Engineer - Body Systems CoE,Mahindra Group,,,,,,
9/8/2022,Senior Systems Analyst,Mastercard,,,,,,
9/22/2022,Crimson AI - SDE 3 - Python,Crimson Interactive,,,,,,
7/31/2022,Data Scientists,ION,,,,,,
9/24/2022,DaaS- Ingestion Product / Template Lead,Mondelēz International,,,,,,
8/31/2022,MSBI Developer | 3 to 5 years | Mumbai,Capgemini,,,,,,
9/26/2022,Biztalk Developer,Infosys,,,,,,
9/2/2022,Sr. Analytic Engineer,General Mills India,,,,,,
3/25/2022,Information Security Analyst,Veritas Technologies LLC,,,,,,
8/22/2022,Associate Software Engineer Database (Siteplug - 228),Affinity Global Inc.,,,,,,
9/21/2022,Associate Team Leader,Morningstar,,,,,,
3/23/2022,"SQL Developer (GCP, ETL)- Mumbai/Kolkata - MNC",PESHR,,,,,,
10/2/2022,"SQL Developer (GCP, ETL)- Mumbai/Kolkata - MNC",PESHR,,,,,,
9/2/2022,TIBCO Developer,Infosys,,,,,,
5/22/2022,Finance Projects and Systems - Production Controls Senior Analyst,BNP Paribas,,,,,,
8/7/2022,Application Development,Barclays,,,,,,
9/29/2022,Mainframe Developer,CGI,,,,,,
9/20/2022,BizOps Engineer II,Mastercard,,,,,,
9/30/2022,Principal Engineer - Data Science,LogiNext,,,,,,
8/9/2022,Developer,Barclays,,,,,,
7/31/2022,SAM8 RCM Developer,Barclays,,,,,,
9/28/2022,ETL Developer,SKILLETY,,,,,,
9/29/2022,L1 Linux Systems Engineer,LeapSwitch Networks,,,,,,
9/7/2022,Scala Developer - Data Warehousing,OptimHire,,,,,,
9/15/2022,"Analyst, Commercial Data Engineer",BD,,,,,,
9/25/2022,Mainframe - Developer,Barclays,,,,,,
5/9/2022,Webmethods Developer,Infosys,,,,,,
9/23/2022,"Senior Database Engineer , Database Engineering (Postgres)",Mastercard,,,,,,
9/21/2022,DATA ENGINEER LEAD,Acme Services,,,,,,
9/16/2022,"Grab opportunity for Specialist_BIS, Mumbai - India",Integreon,,,,,,
8/8/2022,Developer,Barclays,,,,,,
8/31/2022,Senior Systems Analyst,Mastercard,,,,,,
9/28/2022,Wordpress Developer,KOFFEETECH COMMUNICATIONS,,,,,,
9/9/2022,"Salesforce Developer, Specialist",LRN,,,,,,
9/16/2022,Artificial Intelligence Support Engineer,Zycus,,,,,,
8/29/2022,Mean Stack Developor,Private company,,,,,,
8/30/2022,CIEL/SEL/19556: Python Developer,CIEL HR,,,,,,
8/29/2022,Database Developer - SSIS/SSRS,Huptech HR Solutions,,,,,,
10/3/2022,Software Engineer - Data Insights,Coupa Software,,,,,,
9/5/2022,Big Data Developer,Barclays,,,,,,
9/24/2022,CIEL/SEL/23651: Data Scientist,CIEL HR,,,,,,
8/8/2022,Business Systems Analyst - ERP,Interactive Brokers,,,,,,
8/14/2022,Senior Application Support Analyst,Barclays,,,,,,
10/3/2022,Senior Support Analyst,BNP Paribas,,,,,,
9/19/2022,Senior Analyst- Technology/IT Research,SG Analytics,,,,,,
9/29/2022,UIPATH DEVELOPER,Serendipity Corporate Services,,,,,,
8/29/2022,Data Pipeline Engineer,ISS Market Intelligence,,,,,,
8/27/2022,System Engineer,Talent Zone Consultant,,,,,,
8/22/2022,ETL Developer,Internet Brands,,,,,,
8/8/2022,CIEL/SEL/20842: Mainframe Developer,CIEL HR,,,,,,
9/22/2022,Developer,Barclays,,,,,,
9/5/2022,Developer,Barclays,,,,,,
9/21/2022,"Analyst, Information Security-Business Continuity & Disaster Recovery",Western Union,,,,,,
9/23/2022,Product Engineer I - Matching/ Data Analyst,Experian,,,,,,
9/24/2022,Senior Associate - BI DI Developer,SS&C Technologies,,,,,,
9/7/2022,Mainframe Application Engineer,Barclays,,,,,,
9/13/2022,Developer,Barclays,,,,,,
9/13/2022,Senior Support Analyst,BNP Paribas,,,,,,
