Date,Job title,Company,,,,,,
9/21/2022,Data Modelling,Zensar Technologies,,,,,,
9/26/2022,MDP Associate,Morningstar,,,,,,
7/28/2022,Data Analyst (French),Numerator,,,,,,
9/21/2022,Data Analyst/Senior Data Analyst (2-5 yrs),Axis My India,,,,,,
8/12/2022,Senior IT Data & Reporting Analyst,ZS,,,,,,
9/23/2022,Snowflake Data Analyst,Peterson Technology Partners,,,,,,
9/8/2022,DATA ANALYST PRINCIPAL,Cummins Inc.,,,,,,
8/12/2022,Corporate CRM - Data analyst,Barclays,,,,,,
9/14/2022,Associate Strategic Value Advisory Data Analyst,Coupa Software,,,,,,
9/16/2022,Secret Technologies - Data Analyst,SECRET TECHNOLOGIES INDIA (VMS GROUP),,,,,,
5/11/2022,Data Analyst/Senior Data Analyst (2-3 yrs),Axis My India,,,,,,
9/30/2022,French Data Analyst,Numerator,,,,,,
8/26/2022,POWER BI,Russell Tobin,,,,,,
9/26/2022,Data Analyst - Business Intelligence,ProPMO Services Private Limited,,,,,,
9/29/2022,Senior Data Analyst,TMF Group,,,,,,
8/7/2022,Digital Analytics,_VOIS,,,,,,
8/27/2022,Analyst - Core Analytics - Power BI,Randstad India,,,,,,
9/21/2022,French Data Analyst,Numerator,,,,,,
2/4/2022,Data Analyst For Associate & Senior Associate - COSI Team,Apex Group Ltd,,,,,,
7/26/2022,Patient Cloud - Data Analyst,Dassault Systèmes,,,,,,
8/7/2022,Corporate CRM - Data analyst,Barclays,,,,,,
9/20/2022,Associate Data Center Operations Analyst,Ensono,,,,,,
9/14/2022,Senior Data Analyst - eCommerce,BVictorious Management Consultancy,,,,,,
9/21/2022,Senior Data Analyst,Testbook,,,,,,
9/23/2022,Data Engineer,Hexaware Technologies,,,,,,
8/28/2022,Data Analyst - Power BI + Alteryx,Apex Group Ltd,,,,,,
9/29/2022,Data Analyst - Investment Banking/Financial Services Data (10-20 yrs),DADJ Inc.,,,,,,
3/4/2022,Systems Engr I,Honeywell,,,,,,
9/28/2022,Senior Data Analyst - eCommerce,BVictorious Management Consultancy,,,,,,
6/7/2022,Senior Analyst - Data and Analytics (Spend Analysis),GEP Worldwide,,,,,,
8/25/2022,Senior Data Analyst,Enquero,,,,,,
8/22/2022,Insights Analyst/ Senior Analyst (Media & Entertainment),Ormax Media,,,,,,
9/22/2022,Sales Operations Data Analyst,Bloom Energy,,,,,,
9/23/2022,Data Solutions Analyst,Barclays,,,,,,
8/14/2022,Data Engineer junior,Marine Debt Management,,,,,,
9/16/2022,AME Senior Data Analyst,Garrett - Advancing Motion,,,,,,
9/22/2022,CIEL/SEL/21820: Data Analyst - FSG- Mumbai,CIEL HR,,,,,,
9/6/2022,"Analyst, Digital Data & Operations",DKSH,,,,,,
8/26/2022,Credit Data - 8013,ION,,,,,,
9/30/2022,Senior Data Analyst,sRide Carpool,,,,,,
9/30/2022,Mysoftlabs - Data Analyst - Data Modeling and Warehousing,Mysoftlabs,,,,,,
9/30/2022,Axis My India - Manager - Data Analyst,Axis My India,,,,,,
6/15/2022,Data Solutions Analyst,Barclays,,,,,,
3/4/2022,Big Data Analyst,HR Jobs,,,,,,
7/6/2022,Data Engineer,Sigmaways Inc,,,,,,
9/19/2022,Senior Data Analyst - (PLSQL + Unix),HARMAN International,,,,,,
9/23/2022,Senior Data Analyst,vConstruct Private Limited,,,,,,
8/31/2022,"Data QA Analyst Navi Mumbai, Maharashtra",Medscape,,,,,,
8/2/2022,Data Engineer,Barclays,,,,,,
9/30/2022,MICROSOFT - SQL DB Dev,Zensar Technologies,,,,,,
9/3/2022,"Senior Data Quality Analyst with Python or R, SQL",ISS | Institutional Shareholder Services,,,,,,
9/29/2022,"Data QA Analyst Navi Mumbai, Maharashtra",Medscape,,,,,,
9/30/2022,CIEL/SEL/24179: Data Analyst - reporting and data visualization,CIEL HR,,,,,,
8/7/2022,Senior Data Analyst,ClearTrail Technologies,,,,,,
